id,neighbourhood_cleansed,latitude,longitude,room_type,price,review_scores_rating
49731,Glendale,34.15533,-118.23708,Entire home/apt,90.0,5.0
51307,Atwater Village,34.12206,-118.26783,Entire home/apt,75.0,4.64
51498,Mar Vista,34.00389,-118.44126,Entire home/apt,138.0,4.76
51546,Hollywood Hills,34.11874,-118.32113,Entire home/apt,105.0,4.92
51922,Santa Monica,34.01384,-118.49728,Private room,152.0,4.38
52997,Pasadena,34.15227,-118.10359,Private room,130.0,4.69
53945,Carthay,34.06171,-118.37258,Entire home/apt,135.0,4.78
61578,Venice,33.99122,-118.46898,Entire home/apt,417.0,4.92
326787,Hollywood,34.10039,-118.35362,Private room,110.0,4.86
328989,Carthay,34.06303,-118.36374,Entire home/apt,277.0,4.33
337928,Fairfax,34.08708,-118.35434,Entire home/apt,114.0,4.89
344646,Pacific Palisades,34.02846,-118.51825,Entire home/apt,75.0,4.35
346756,Santa Monica,34.02445,-118.49391,Entire home/apt,150.0,4.65
347925,Silver Lake,34.09241,-118.28065,Entire home/apt,260.0,4.93
350634,El Segundo,33.91961,-118.42146,Entire home/apt,127.0,4.85
121717,Altadena,34.20977,-118.16546,Entire home/apt,116.0,4.51
63416,Hollywood Hills,34.11343659747514,-118.32398830704685,Private room,179.0,4.99
64574,Hollywood Hills,34.12769,-118.32167,Entire home/apt,250.0,4.94
67089,Culver City,34.00985,-118.40798,Entire home/apt,174.0,4.92
67792,West Hollywood,34.08187,-118.38965,Entire home/apt,375.0,4.94
69838,Mid-City,34.03833,-118.33662,Private room,96.0,4.81
72186,Harvard Heights,34.04236,-118.30637,Private room,45.0,4.9
74770,Encino,34.18177,-118.52621,Entire home/apt,129.0,4.92
359854,Mid-Wilshire,34.05479,-118.36375,Private room,77.0,4.67
124199,Beverly Hills,34.06547,-118.40422,Entire home/apt,187.0,4.69
130915,Calabasas,34.13299,-118.70287,Private room,86.0,4.85
354281,Long Beach,33.76371,-118.12497,Private room,224.0,4.92
356290,Santa Monica,34.00351,-118.478,Entire home/apt,220.0,4.94
357323,Echo Park,34.08115,-118.25549,Entire home/apt,141.0,4.85
357690,Pasadena,34.16108,-118.10577,Private room,80.0,4.95
358575,Echo Park,34.08898,-118.25007,Entire home/apt,208.0,4.94
533646,Hollywood,34.10038,-118.33003,Private room,60.0,4.72
533884,El Segundo,33.91961,-118.42146,Private room,81.0,4.79
534552,Silver Lake,34.08523,-118.27088,Entire home/apt,207.0,4.7
535498,Santa Monica,34.02163,-118.45105,Entire home/apt,450.0,4.96
374590,Silver Lake,34.09451,-118.27413,Entire home/apt,363.0,4.92
376740,Hermosa Beach,33.85446,-118.39645,Private room,132.0,4.95
377271,Mid-Wilshire,34.0667,-118.35127,Entire home/apt,175.0,4.5
381068,Topanga,34.11307089613558,-118.60924942642606,Entire home/apt,221.0,4.93
131557,Echo Park,34.08023,-118.25646,Entire home/apt,119.0,4.7
131635,Valley Glen,34.1831,-118.39929,Private room,50.0,4.97
132908,Hollywood Hills West,34.10236,-118.37752,Entire home/apt,925.0,4.81
134553,Topanga,34.09729,-118.61616,Entire home/apt,83.0,4.59
135608,Downtown,34.04827,-118.23603,Private room,41.0,4.51
138211,Sawtelle,34.03493,-118.4629,Entire home/apt,140.0,4.76
138244,Atwater Village,34.1217,-118.26329,Entire home/apt,115.0,4.8
146845,Shadow Hills,34.21888,-118.34594,Private room,98.0,4.95
387562,Topanga,34.08655,-118.59557,Entire home/apt,219.0,4.95
393966,Downtown,34.04805,-118.23797,Private room,42.0,4.86
394508,Hollywood,34.0967,-118.33316,Entire home/apt,169.0,4.85
394904,Santa Monica,34.00351333618164,-118.47799682617188,Entire home/apt,490.0,4.92
395221,Beverly Hills,34.0785,-118.41364,Entire home/apt,211.0,4.95
395305,Glassell Park,34.12887,-118.23526,Entire home/apt,104.0,4.9
400478,Harvard Heights,34.04762,-118.3125,Shared room,31.0,4.74
400940,Del Rey,33.99077,-118.42775,Entire home/apt,141.0,4.75
400984,West Hollywood,34.08736,-118.35392,Entire home/apt,114.0,5.0
402053,Woodland Hills,34.17028045654297,-118.6543960571289,Entire home/apt,90.0,4.79
538568,Echo Park,34.07937,-118.26531,Entire home/apt,145.0,4.8
552216,Santa Monica,34.02707,-118.48176,Private room,107.0,4.91
555979,Westwood,34.05536,-118.43194,Private room,85.0,4.78
557734,Hermosa Beach,33.85408,-118.39836,Entire home/apt,1450.0,4.84
565733,Hollywood Hills,34.11411,-118.31521,Entire home/apt,400.0,4.86
150097,Valley Glen,34.18163,-118.39925,Entire home/apt,75.0,4.96
151356,Silver Lake,34.08963,-118.27103,Entire home/apt,211.0,4.81
152514,Manhattan Beach,33.90502166748047,-118.42046356201172,Entire home/apt,150.0,5.0
404691,Harvard Heights,34.04734,-118.31183,Shared room,31.0,4.69
404795,Arlington Heights,34.04738,-118.31411,Shared room,31.0,4.81
409740,Hollywood Hills West,34.12244,-118.36029,Entire home/apt,367.0,4.88
416651,Silver Lake,34.08609,-118.27127,Entire home/apt,213.0,4.81
424928,Venice,33.99803,-118.47723,Entire home/apt,129.0,4.68
565836,Venice,33.99263,-118.46499,Entire home/apt,375.0,4.95
566016,Hollywood Hills West,34.12356,-118.3751,Entire home/apt,765.0,4.85
571242,Pasadena,34.16675,-118.11573,Private room,54.0,4.66
573036,Hollywood,34.09638,-118.33257,Entire home/apt,198.0,4.89
153412,Venice,33.98335,-118.46769,Entire home/apt,175.0,4.73
426663,Beverly Grove,34.08504,-118.3676,Entire home/apt,100.0,5.0
431476,Hollywood,34.10336,-118.32366,Entire home/apt,102.0,4.53
433619,Studio City,34.14261,-118.36865,Private room,65.0,5.0
435277,Beverly Hills,34.07173,-118.386,Private room,79.0,4.88
438464,Topanga,34.09782,-118.61694,Entire home/apt,84.0,4.66
438472,South Pasadena,34.1135,-118.16084,Private room,81.0,4.86
440820,Ladera Heights,33.98297,-118.37812,Private room,53.0,4.71
160288,Topanga,34.09793,-118.61621,Entire home/apt,116.0,4.7
162047,Rancho Palos Verdes,33.77191,-118.39385,Private room,79.0,4.75
577436,Beverly Hills,34.0785,-118.41364,Entire home/apt,257.0,4.95
577969,Beverly Crest,34.11431,-118.42465,Entire home/apt,1384.0,5.0
578100,Mar Vista,34.00758,-118.43713,Entire home/apt,63.0,4.95
579927,Venice,33.98185,-118.46691,Entire home/apt,456.0,4.81
584489,Calabasas,34.12602,-118.65684,Entire home/apt,202.0,4.95
585338,Echo Park,34.077813015232735,-118.26394365641288,Entire home/apt,300.0,5.0
586709,Echo Park,34.09322,-118.25024,Private room,160.0,4.85
589056,Hollywood,34.09517,-118.34399,Entire home/apt,312.0,5.0
164889,Topanga,34.09813,-118.61599,Entire home/apt,135.0,4.76
441166,Long Beach,33.76478,-118.13349,Private room,113.0,5.0
446757,Hollywood,34.10336,-118.32366,Entire home/apt,195.0,4.59
460731,Manhattan Beach,33.90045,-118.40868,Entire home/apt,181.0,4.89
462726,Sherman Oaks,34.15898,-118.4593,Entire home/apt,95.0,4.94
468573,Long Beach,33.76459,-118.13367,Private room,113.0,4.43
469951,Venice,33.98861,-118.45721,Entire home/apt,225.0,4.87
165978,Fairfax,34.06923,-118.34549,Entire home/apt,173.0,4.64
590936,Lincoln Heights,34.07566,-118.22307,Entire home/apt,112.0,4.85
590957,Redondo Beach,33.8634,-118.37026,Private room,107.0,4.93
591831,Lincoln Heights,34.07808,-118.20739,Private room,95.0,4.8
593043,Santa Monica,34.00816,-118.46601,Entire home/apt,500.0,5.0
594777,Lincoln Heights,34.07645,-118.20635,Entire home/apt,149.0,4.71
598240,Hermosa Beach,33.85675,-118.39704,Entire home/apt,365.0,4.88
604321,Alhambra,34.09372,-118.118,Entire home/apt,115.0,4.63
611841,Hollywood Hills,34.11737,-118.32114,Entire home/apt,110.0,4.96
611903,Silver Lake,34.10475,-118.26176,Entire home/apt,373.0,4.92
180926,Unincorporated Santa Monica Mountains,34.07054,-118.89799,Entire home/apt,99.0,4.92
473632,Woodland Hills,34.15438,-118.60947,Entire home/apt,185.0,4.0
490221,Brentwood,34.06462,-118.4919,Entire home/apt,650.0,4.93
492235,Mar Vista,34.00858,-118.45334,Entire home/apt,127.0,4.91
498014,Venice,33.99847,-118.46617,Private room,149.0,4.92
498342,Canoga Park,34.21033,-118.61166,Private room,110.0,4.9
181511,Elysian Valley,34.10053,-118.24925,Entire home/apt,163.0,4.96
617321,Long Beach,33.83361,-118.18018,Private room,148.0,4.97
619457,Hollywood Hills,34.10854,-118.3145,Entire home/apt,383.0,4.5
621233,Topanga,34.09749,-118.61543,Entire home/apt,91.0,4.49
622766,Hollywood,34.09513,-118.35534,Entire home/apt,100.0,4.73
626181,Venice,33.99571640179683,-118.4608312351106,Entire home/apt,361.0,4.9
635213,Pasadena,34.15438,-118.08306,Private room,72.0,4.9
183319,Venice,33.99211,-118.476,Entire home/apt,85.0,5.0
190160,Echo Park,34.07098,-118.25078,Private room,72.0,4.77
191733,Atwater Village,34.11365,-118.25162,Entire home/apt,120.0,4.89
499612,Downtown,34.04045,-118.2335,Entire home/apt,300.0,4.91
502172,Eagle Rock,34.12597,-118.22577,Entire home/apt,304.0,4.45
504631,Lake Balboa,34.20169,-118.50028,Entire home/apt,64.0,4.59
507927,Topanga,34.07282,-118.59627,Entire home/apt,151.0,4.91
636629,Lincoln Heights,34.07507,-118.2085,Entire home/apt,150.0,4.69
638927,West Hollywood,34.09385,-118.35044,Entire home/apt,244.0,4.94
639363,Mar Vista,33.99849,-118.43987,Entire home/apt,206.0,4.63
642537,Palms,34.02801,-118.40921,Private room,49.0,4.87
643453,Lincoln Heights,34.07548,-118.20822,Private room,95.0,4.72
